1.1, Explore Visible Content
3.2.3, The ability to bypass client-side validation does not necessarily representany vulnerability. Nevertheless you should review closely what validationis being performed. Confi rm whether the application is relyingon the client-side controls to protect itself from malformed input. Alsoconfi rm whether any exploitable conditions exist that can be triggeredby such input.
3.2.4, Review each HTML form to identify any disabled elements such asgrayed-out submit buttons. For example:<input disabled=”true” name=”product”>If you fi nd any submit these to the server along with the form’s otherparameters. See whether the parameter has any effect on the server’sprocessing that you can leverage in an attack. Alternatively use anautomated proxy rule to automatically enable disabled fi elds such asBurp Proxy’s “HTML Modifi cation” rules.
3.3, Test Browser Extension Components
3.3.1, Understand the Client Application’s Operation
3.3.1.1, Set up a local intercepting proxy for the client technology under reviewand monitor all traffi c passing between the client and server. If data isserialized use a deserialization tool such as Burp’s built-in AMF supportor the DSer Burp plug-in for Java.
3.3.1.2, Step through the functionality presented in the client. Determine anypotentially sensitive or powerful functions using standard tools withinthe intercepting proxy to replay key requests or modify server responses.
3.3.2, Decompile the Client
3.3.2.1, Identify any applets employed by the application. Look for any of thefollowing fi le types being requested via your intercepting proxy:n .class .jar : Javan .swf : Flashn .xap : SilverlightChapter 21 n A Web Application Hacker’s Methodology 803You can also look for applet tags within the HTML source code ofapplication pages. For example:<applet code=”input.class” id=”TheApplet” codebase=”/scripts/”></applet>
3.3.2.2, Review all calls made to the applet’s methods from within the invokingHTML and determine whether data returned from the applet is beingsubmitted to the server. If this data is opaque (that is obfuscated orencrypted) to modify it you will probably need to decompile the appletto obtain its source code.
3.3.2.3, Download the applet bytecode by entering the URL into your browserand save the fi le locally. The name of the bytecode fi le is specifi ed inthe code attribute of the applet tag. The fi le will be located in the directoryspecifi ed in the codebase attribute if this is present. Otherwise itwill be located in the same directory as the page in which the applet tagappears.
3.3.2.4, Use a suitable tool to decompile the bytecode into source code. Forexample:C:\>jad.exe input.classParsing input.class... Generating input.jadHere are some suitable tools for decompiling different browser extensioncomponents:n Java — Jadn Flash — SWFScan Flasm/Flaren Silverlight — .NET ReflectorIf the applet is packaged into a JAR XAP or SWF fi le you can unpackit using a standard archive reader such as WinRar or WinZip.
3.3.2.5, Review the relevant source code (starting with the implementation ofthe method that returns the opaque data) to understand what processingis being performed.
3.3.2.6, Determine whether the applet contains any public methods that can beused to perform the relevant obfuscation on arbitrary input.
3.3.2.7, If it doesn’t modify the applet’s source to neutralize any validation itperforms or to allow you to obfuscate arbitrary input. You can thenrecompile the source into its original fi le format using the compilationtools provided by the vendor.
3.3.3, Attach a Debugger
3.3.3.1, For large client-side applications it is often prohibitively diffi cult todecompile the whole application modify it and repackage it without
3.3.3.2, Locate the key functions and values the application employs to drivesecurity-related business logic and place breakpoints when the targetedfunction is called. Modify the arguments or return value as needed toaffect the security bypass.
3.3.4, Test ActiveX controls
3.3.4.1, Identify any ActiveX controls employed by the application. Look forany .cab fi le types being requested via your intercepting proxy or lookfor object tags within the HTML source code of application pages. Forexample:<OBJECTclassid=”CLSID:4F878398-E58A-11D3-BEE9-00C04FA0D6BA”codebase=”https://wahh app.com/scripts/input.cab”id=”TheAxControl”></OBJECT>
3.3.4.2, It is usually possible to subvert any input validation performed withinan ActiveX control by attaching a debugger to the process and directlymodifying data being processed or altering the program’s executionpath. See Chapter 5 for more details about this kind of attack.
3.3.4.3, It is often possible to guess the purpose of different methods that anActiveX control exports based on their names and the parameterspassed to them. Use the COMRaider tool to enumerate the methodsexported by the control. Test whether any of these can be manipulatedto affect the control’s behavior and defeat any validation testsit implements.
3.3.4.4, If the control’s purpose is to gather or verify certain information aboutthe client computer use the Filemon and Regmon tools to monitor theinformation the control gathers. It is often possible to create suitableitems within the system registry and fi lesystem to fi x the inputs usedby the control and therefore affect its behavior.
3.3.4.5, Test any ActiveX controls for vulnerabilities that could be exploited toattack other users of the application. You can modify the HTML usedto invoke a control to pass arbitrary data to its methods and monitorthe results. Look for methods with dangerous-sounding names suchas LaunchExe. You can also use COMRaider to perform some basic fuzztesting of ActiveX controls to identify fl aws such as buffer overfl ows.
4.1, Understand the Mechanism
4.1.1, Establish the authentication technologies in use (for example formscertifi cates or multifactor).
4.1.2, Locate all the authentication-related functionality (including loginregistration account recovery and so on).
4.1.3, If the application does not implement an automated self-registrationmechanism determine whether any other means exists of obtainingseveral user accounts.
4.2, Test Password Quality
4.2.1, Review the application for any description of the minimum quality rulesenforced on user passwords.
4.2.2, Attempt to set various kinds of weak passwords using any self-registrationor password change functions to establish the rules actually enforced.Try short passwords alphabetic characters only single-case charactersonly dictionary words and the current username.
4.2.3, Test for incomplete validation of credentials. Set a strong and complexpassword (for example 12 characters with mixed-case letters numeralsand typographic characters). Attempt to log in using different variationson this password by removing the last character by changing acharacter’s case and by removing any special characters. If any of theselogin attempts is successful continue experimenting systematically toidentify what validation is actually being performed.
4.2.4, Having established the minimum password quality rules and the extentof password validation identify the range of values that a passwordguessingattack would need to employ to have a good probability ofsuccess. Attempt to locate any built-in accounts that may not have beensubject to the standard password complexity requirements.
4.3, Test for Username Enumeration
4.3.1, Identify every location within the various authentication functionswhere a username is submitted including via an on-screen input fi elda hidden form fi eld or a cookie. Common locations include the primarylogin self-registration password change logout and account recovery.
4.3.2, For each location submit two requests containing a valid and an invalidusername. Review every detail of the server’s responses to each pair ofrequests including the HTTP status code any redirects informationdisplayed on-screen any differences hidden in the HTML page sourceand the time taken for the server to respond. Note that some differencesmay be subtle (for example the same error message may contain minortypographical differences). You can use the history function of yourintercepting proxy to review all traffi c to and from the server. WebScarabhas a function to compare two responses to quickly highlight any differencesbetween them.
4.3.3, If you observe any differences between the responses where a valid andinvalid username is submitted repeat the test with a different pair ofvalues and confi rm that a systematic difference exists that can providea basis for automated username enumeration.Chapter 21 n A Web Application Hacker’s Methodology 807
4.3.4, Check for any other sources of information leakage within the applicationthat may enable you to compile a list of valid usernames. Examplesare logging functionality actual listings of registered users and directmention of names or e-mail addresses in source code comments.
4.3.5, Locate any subsidiary authentication that accepts a username anddetermine whether it can be used for username enumeration. Payspecifi c attention to a registration page that allows specifi cation of ausername.
4.4, Test Resilience to Password Guessing
4.4.1, Identify every location within the application where user credentialsare submitted. The two main instances typically are the main loginfunction and the password change function. The latter normally is avalid target for password-guessing attacks only if an arbitrary usernamecan be supplied.
4.4.2, At each location using an account that you control manually sendseveral requests containing the valid username but other invalidcredentials. Monitor the application’s responses to identify any differences.After about 10 failed logins if the application has not returneda message about account lockout submit a request containing validcredentials. If this request succeeds an account lockout policy probablyis not in force.
4.4.3, If you do not control any accounts attempt to enumerate or guess avalid username and make several invalid requests using this guessmonitoring for any error messages about account lockout. Of courseyou should be aware that this test may have the effect of suspending ordisabling an account belonging to another user.
4.5, Test Any Account Recovery Function
4.5.1, Identify whether the application contains any facility for users to regaincontrol of their account if they have forgotten their credentials. Thisis often indicated by a Forgot Your Password link near the main loginfunction.
4.5.2, Establish how the account recovery function works by doing a completewalk-through of the recovery process using an account you control.
4.5.3, If the function uses a challenge such as a secret question determinewhether users can set or select their own challenge during registration.If so use a list of enumerated or common usernames to harvest a list ofchallenges and review this for any that appear to be easily guessable.
4.5.4, If the function uses a password hint perform the same exercise to harvesta list of password hints and identify any that appear to be easilyguessable.
4.5.5, Perform the same tests on any account-recovery challenges that you performedat the main login function to assess vulnerability to automatedguessing attacks.
4.5.6, If the function involves sending an e-mail to the user to complete therecovery process look for any weaknesses that may enable you to takecontrol of other users’ accounts. Determine whether it is possible tocontrol the address to which the e-mail is sent. If the message containsa unique recovery URL obtain a number of messages using an e-mailaddress you control and attempt to identify any patterns that may enableyou to predict the URLs issued to other users. Apply the methodologydescribed in step 5.3 to identify any predictable sequences.
4.6, Test Any Remember Me Function
4.6.1, If the main login function or its supporting logic contains a RememberMe function activate this and review its effects. If this function allows theuser to log in on subsequent occasions without entering any credentialsyou should review it closely for any vulnerabilities.
4.6.2, Closely inspect all persistent cookies that are set when the Remember Mefunction is activated. Look for any data that identifi es the user explicitlyor appears to contain some predictable identifi er of the user.
4.6.3, Even where the data stored appears to be heavily encoded or obfuscatedreview this closely and compare the results of remembering several verysimilar usernames and/or passwords to identify any opportunities toreverse-engineer the original data. Apply the methodology describedin step 5.2 to identify any meaningful data.
4.6.4, Depending on your results modify the contents of your cookie in suitableways in an attempt to masquerade as other users of the application.
4.7, Test Any Impersonation Function
4.7.1, If the application contains any explicit functionality that allows oneuser to impersonate another review this closely for any vulnerabilitiesthat may enable you to impersonate arbitrary users without properauthorization.
4.7.2, Look for any user-supplied data that is used to determine the targetof the impersonation. Attempt to manipulate this to impersonateChapter 21 n A Web Application Hacker’s Methodology 809other users particularly administrative users which may enable youescalate privileges.
4.7.3, If you perform any automated password-guessing attacks against otheruser accounts look for any accounts that appear to have more than onevalid password or multiple accounts that appear to have the same password.This may indicate the presence of a backdoor password whichadministrators can use to access the application as any user.
4.8, Test Username Uniqueness
4.8.1, If the application has a self-registration function that lets you specifya desired username attempt to register the same username twice withdifferent passwords.
4.8.2, If the application blocks the second registration attempt you can exploitthis behavior to enumerate registered usernames.
4.8.3, If the application registers both accounts probe further to determine itsbehavior when a collision of username and password occurs. Attemptto change the password of one of the accounts to match that of theother. Also attempt to register two accounts with identical usernamesand passwords.
4.8.4, If the application alerts you or generates an error when a collision ofusername and password occurs you can probably exploit this to performan automated guessing attack to discover another user’s password. Targetan enumerated or guessed username and attempt to create accountsthat have this username and different passwords. When the applicationrejects a specifi c password you have probably found the existingpassword for the targeted account.
4.8.5, If the application appears to tolerate a collision of username and passwordwithout an error log in using the colliding credentials. Determinewhat happens and whether the application’s behavior can be leveragedto gain unauthorized access to other users’ accounts.
4.9, Test Predictability of Autogenerated Credentials
4.9.1, If the application automatically generates usernames or passwords tryto obtain several values in quick succession and identify any detectablesequences or patterns.
4.9.2, If usernames are generated in a predictable way extrapolate backwardsto obtain a list of possible valid usernames. You can use this as the basisfor automated password-guessing and other attacks.
4.9.3, If passwords are generated in a predictable way extrapolate the patternto obtain a list of possible passwords issued to other application users.This can be combined with any lists of usernames you obtain to performa password-guessing attack.
4.1, Check for Unsafe Transmission of Credentials
4.10.1, Walk through all authentication-related functions that involve transmissionof credentials including the main login account registrationpassword change and any page that allows viewing or updating ofuser profi le information. Monitor all traffi c passing in both directionsbetween the client and server using your intercepting proxy.
4.10.2, Identify every case in which the credentials are transmitted in eitherdirection. You can set interception rules in your proxy to fl ag messagescontaining specifi c strings.
4.10.3, If credentials are ever transmitted in the URL query string these arepotentially vulnerable to disclosure in the browser history on-screenin server logs and in the Referer header when third-party links arefollowed.
4.10.4, If credentials are ever stored in a cookie these are potentially vulnerableto disclosure via XSS attacks or local privacy attacks.
4.10.5, If credentials are ever transmitted from the server to the client thesemay be compromised via any vulnerabilities in session management oraccess controls or in an XSS attack.
4.10.6, If credentials are ever transmitted over an unencrypted connection theseare vulnerable to interception by an eavesdropper.
4.10.7, If credentials are submitted using HTTPS but the login form itself isloaded using HTTP the application is vulnerable to a man-in-the-middleattack that may be used to capture credentials.
4.11, Check for Unsafe Distribution of Credentials
4.11.1, If accounts are created via some out-of-band channel or the applicationhas a self-registration function that does not itself determine all ofa user’s initial credentials establish the means by which credentials aredistributed to new users. Common methods include sending a messageto an e-mail or postal address.Chapter 21 n A Web Application Hacker’s Methodology 811
4.11.2, If the application generates account activation URLs that are distributedout-of-band try to register several new accounts in close successionand identify any sequence in the URLs you receive. If a pattern canbe determined try to predict the URLs sent to recent and forthcomingusers and attempt to use these URLs to take ownership of theiraccounts.
4.11.3, Try to reuse a single activation URL multiple times and see if the applicationallows this. If it doesn’t try locking out the target account beforereusing the URL and see if the URL still works. Determine whether thisenables you to set a new password on an active account.
4.12, Test for Insecure Storage
4.12.1, If you gain access to hashed passwords check for accounts that sharethe same hashed password value. Try to log in with common passwordsfor the most common hashed value.
4.12.2, Use an offl ine rainbow table for the hashing algorithm in question torecover the cleartext value.
4.13, Test for Logic Flaws
4.13.1, Test for Fail-Open Conditions
4.13.1.1, For each function in which the application checks a user’s credentialsincluding the login and password change functions walk through theprocess in the normal way using an account you control. Note everyrequest parameter submitted to the application.
4.13.1.2, Repeat the process numerous times modifying each parameter in turnin various unexpected ways designed to interfere with the application’slogic. For each parameter include the following changes:n Submit an empty string as the value.n Remove the name/value pair.n Submit very long and very short values.n Submit strings instead of numbers and vice versa.n Submit the same named parameter multiple times with the sameand different values.
4.13.1.3, Review closely the application’s responses to the preceding requests. Ifany unexpected divergences from the base case occur feed this observationback into your framing of further test cases. If one modifi cationcauses a change in behavior try to combine this with other changes topush the application’s logic to its limits.
4.13.2, Test Any Multistage Mechanisms
4.13.2.1, If any authentication-related function involves submitting credentialsin a series of different requests identify the apparent purpose of eachdistinct stage and note the parameters submitted at each stage.
4.13.2.2, Repeat the process numerous times modifying the sequence of requestsin ways designed to interfere with the application’s logic includingthe following tests:n Proceed through all stages but in a different sequence than the oneintended.n Proceed directly to each stage in turn and continue the normalsequence from there.n Proceed through the normal sequence several times skipping eachstage in turn and continuing the normal sequence from the next stage.n On the basis of your observations and the apparent purpose of eachstage of the mechanism try to think of further ways to modify thesequence and to access the different stages that the developers maynot have anticipated.
4.13.2.3, Determine whether any single piece of information (such as the username)is submitted at more than one stage either because it is capturedmore than once from the user or because it is transmitted via the clientin a hidden form fi eld cookie or preset query string parameter. If so trysubmitting different values at different stages (both valid and invalid)and observing the effect. Try to determine whether the submitted itemis sometimes superfl uous or is validated at one stage and then trustedsubsequently or is validated at different stages against different checks.Try to exploit the application’s behavior to gain unauthorized accessor reduce the effectiveness of the controls imposed by the mechanism.
4.13.2.4, Look for any data that is transmitted via the client that has not beencaptured from the user at any point. If hidden parameters are usedChapter 21 n A Web Application Hacker’s Methodology 813to track the state of the process across successive stages it may bepossible to interfere with the application’s logic by modifying theseparameters in crafted ways.
4.13.2.5, If any part of the process involves the application’s presenting a randomlyvarying challenge test for two common defects:n If a parameter specifying the challenge is submitted along with theuser’s response determine whether you can effectively choose yourown challenge by modifying this value.n Try proceeding as far as the varying challenge several times withthe same username and determine whether a different challengeis presented. If it is you can effectively choose your own challengeby proceeding to this stage repeatedly until your desiredchallenge is presented.
4.14, Exploit Any Vulnerabilities to GainUnauthorized Access
4.14.1, Review any vulnerabilities you have identifi ed within the various authenticationfunctions and identify any that you can leverage to achieveyour objectives in attacking the application. This typically involvesattempting to authenticate as a different user — if possible a user withadministrative privileges.
4.14.2, Before mounting any kind of automated attack note any accountlockout defenses you have identifi ed. For example when performingusername enumeration against a login function submit a commonpassword with each request rather than a completely arbitrary valueso as not to waste a failed login attempt on every username discovered.Similarly perform any password-guessing attacks on a breadth-fi rstnot depth-fi rst basis. Start your word list with the most common weakpasswords and proceed through this list trying each item againstevery enumerated username.
4.14.3, Take account of the password quality rules and the completeness ofpassword validation when constructing word lists to use in any passwordguessingattack to avoid impossible or superfl uous test cases.
4.14.4, Use the techniques described in Chapter 14 to automate as muchwork as possible and maximize the speed and effectiveness of yourattacks.
5.1, Understand the Mechanism
5.1.1, Analyze the mechanism used to manage sessions and state. Establishwhether the application uses session tokens or some other method ofhandling the series of requests received from each user. Note that someauthentication technologies (such as HTTP authentication) may notrequire a full session mechanism to reidentify users post-authentication.Also some applications use a sessionless state mechanism in which allstate information is transmitted via the client usually in an encryptedor obfuscated form.
5.1.2, If the application uses session tokens confi rm precisely which piecesof data are actually used to reidentify users. Items that may be used totransmit tokens include HTTP cookies query string parameters andhidden form fi elds. Several different pieces of data may be used collectivelyto reidentify the user and different items may be used by differentback-end components. Often items that look like session tokens maynot actually be employed as such by the application such as the defaultcookie generated by the web server.Chapter 21 n A Web Application Hacker’s Methodology 815
5.1.3, To verify which items are actually being employed as session tokensfi nd a page or function that is certainly session-dependent (such as auser-specifi c My Details page). Then make several requests for it systematicallyremoving each item you suspect is being used as a sessiontoken. If removing an item stops the session-dependent page from beingreturned this may confi rm that the item is a session token. Burp Repeateris a useful tool for performing these tests.
5.1.4, Having established which items of data are actually being used to reidentifyusers for each token confi rm whether it is being validated in itsentirety or whether some subcomponents of the token are ignored.Change the token’s value 1 byte at a time and check whether the modified value is still accepted. If you fi nd that certain portions of the tokenare not actually used to maintain session state you can exclude thesefrom further analysis.
5.2, Test Tokens for Meaning
5.2.1, Log in as several different users at different times and record the tokensreceived from the server. If self-registration is available and you can chooseyour username log in with a series of similar usernames that have smallvariations such as A AA AAA AAAA AAAB AAAC AABA and soon. If other user-specifi c data is submitted at the login or is stored in userprofi les (such as an e-mail address) perform a similar exercise to modifythat data systematically and capture the resulting tokens.
5.2.2, Analyze the tokens you receive for any correlations that appear to berelated to the username and other user-controllable data.
5.2.3, Analyze the tokens for any detectable encoding or obfuscation. Lookfor a correlation between the length of the username and the length ofthe token which strongly indicates that some kind of obfuscation orencoding is in use. Where the username contains a sequence of the samecharacter look for a corresponding character sequence in the tokenwhich may indicate the use of XOR obfuscation. Look for sequences inthe token that contain only hexadecimal characters which may indicatehexadecimal encoding of an ASCII string or other information. Look forsequences ending in an equals sign and/or containing only the othervalid Base64 characters: a to z A to Z 0 to 9 + and /.
5.2.4, If you can identify any meaningful data within your sample of sessiontokens consider whether this is suffi cient to mount an attack that attemptsto guess the tokens recently issued to other application users. Find apage of the application that is session-dependent and use the techniques
5.3, Test Tokens for Predictability
5.3.1, Generate and capture a large number of session tokens in quick successionusing a request that causes the server to return a new token (forexample a successful login request).
5.3.2, Attempt to identify any patterns within your sample of tokens. In allcases you should use Burp Sequencer as described in Chapter 7 toperform detailed statistical tests of the randomness properties of theapplication’s tokens. Depending on the results it may also be useful toperform the following manual analysis:n Apply your understanding of which tokens and subsequences theapplication actually uses to reidentify users. Ignore any data that isnot used in this way even if it varies between samples.n If it is unclear what type of data is contained in the token or in anyindividual component of it try applying various decodings (for exampleBase64) to see if any more meaningful data emerges. It may benecessary to apply several decodings in sequence.n Try to identify any patterns in the sequences of values contained ineach decoded token or component. Calculate the differences betweensuccessive values. Even if these appear to be chaotic there may be afixed set of observed differences which narrows down the scope ofany brute-force attack considerably.n Obtain a similar sample of tokens after waiting for a few minutesand repeat the same analysis. Try to detect whether any of the tokens’content is time-dependent.
5.3.3, If you identify any patterns capture a second sample of tokens usinga different IP address and a different username. This will help youidentify whether the same pattern is detected and whether tokensreceived in the fi rst exercise could be extrapolated to guess tokensreceived in the second.
5.3.4, If you can identify any exploitable sequences or time dependenciesconsider whether this is suffi cient to mount an attack that attemptsto guess the tokens recently issued to other application users. Use thetechniques described in Chapter 14 to automate the task of generatingand testing possible tokens. Except in the simplest kind of sequencesit is likely that your attack will need to involve a customized scriptof some kind.Chapter 21 n A Web Application Hacker’s Methodology 817
5.3.5, If the session ID appears to be custom-written use the “bit fl ipper”payload source in Burp Intruder to sequentially modify each bit in thesession token in turn. Grep for a string in the response that indicateswhether modifying the token has not resulted in an invalid session andwhether the session belongs to a different user.
5.4, Check for Insecure Transmission of Tokens
5.4.1, Walk through the application as normal starting with unauthenticatedcontent at the start URL proceeding through the login process andthen going through all the application’s functionality. Make a noteof every occasion on which a new session token is issued and whichportions of your communications use HTTP and which use HTTPS.You can use the logging function of your intercepting proxy to recordthis information.
